X1,X2,Y1,Y2,Area,Xmid,Ymid,Color
0,3340,0,2902,0,1670,1200,beige
0,630,2902,8738,1,315,5820,green
2733,3340,2902,8738,2,3036.5,5820,green
625,1557,2595,2902,3,1091,2748.5,blue
1798,2724,2595,2902,4,2261,2748.5,blue
630,1134,3583,5619,5,882,4601,blue
630,1130,6084,8119,6,880,7101.5,blue
1430,1935,3583,5619,7,1682.5,4601,blue
1430,1935,6084,8119,8,1682.5,7101.5,blue
2232,2733,3583,5619,9,2482.5,4601,blue
2232,2733,6084,8119,10,2482.5,7101.5,blue
625,914,1695,2595,11,769.5,2145,grey50
2440,2724,1695,2595,12,2582,2145,grey50
630,2733,8119,8738,13,1681.5,8428.5,green
1130,1430,3583,8119,14,1280,5851,blue
1935,2232,3583,8119,15,2083.5,5851,blue
630,2733,2902,3583,16,1681.5,3242.5,green
630,1130,5619,6084,17,880,5851.5,green
2232,2733,5619,6084,18,2482.5,5851.5,green
